date_utc,start_time_utc,end_time_utc,location,latitude,longitude,rainfall_mm,source_file
2026-08-27,01:00:00,01:29:59,Rangpo,27.177,88.533,0.0,3B-HHR-E.MS.MRG.3IMERG.20260827-S010000-E012959.0060.V07C.30min.tif
2026-08-27,01:00:00,01:29:59,Singtam,27.234,88.501,0.0,3B-HHR-E.MS.MRG.3IMERG.20260827-S010000-E012959.0060.V07C.30min.tif
2026-08-27,01:30:00,01:59:59,Rangpo,27.177,88.533,0.0,3B-HHR-E.MS.MRG.3IMERG.20260827-S013000-E015959.0090.V07C.30min.tif
2026-08-27,01:30:00,01:59:59,Singtam,27.234,88.501,0.0,3B-HHR-E.MS.MRG.3IMERG.20260827-S013000-E015959.0090.V07C.30min.tif
